trade_id	insider_name	symbol	txn_code	transaction_date	txn_price	shares	price+7day	PnL
6859	O'Toole Amie Thuener	GOOGL	S	2024-11-15	175.86	-2835	164.76	31468.5
6860	Pichai Sundar	GOOGL	S	2024-11-20	178.6811	-717	169.23	6776.44
6873	ARNOLD FRANCES	GOOGL	S	2024-11-29	169.98	-111	174.51	-502.83
6877	O'Toole Amie Thuener	GOOGL	S	2024-12-02	170.41	-1367	175.37	-6780.32
7360	Bosworth Andrew	META	S	2024-11-18	555.273	-1060	565.11	-10427.22
7364	LI SUSAN J	META	S	2024-11-18	555.2549	-1592	565.11	-15689.32
7368	Clegg Nicholas	META	S	2024-11-18	555.56	-200	565.11	-1910.0
7372	Anderson Aaron	META	S	2024-11-18	557.0	-731	565.11	-5928.41
7373	Olivan Javier	META	S	2024-11-18	557.0	-620	565.11	-5028.2
7374	Newstead Jennifer	META	S	2024-11-19	552.3	-905	573.54	-19222.2
7375	Olivan Javier	META	S	2024-11-25	562.77	-413	592.83	-12414.78
7376	Newstead Jennifer	META	S	2024-11-26	565.3	-905	613.65	-43756.75
7378	Olivan Javier	META	S	2024-12-02	577.49	-413	613.57	-14901.04
7379	Newstead Jennifer	META	S	2024-12-03	595.0	-905	619.32	-22009.6
7381	Zuckerberg Mark	META	S	2024-12-03	613.8621	-1048	619.32	-5719.88
7410	Zuckerberg Mark	META	S	2024-12-04	616.8455	-292	632.68	-4623.67
7433	Zuckerberg Mark	META	S	2024-12-05	619.25	-100	630.79	-1154.0
7456	Zuckerberg Mark	META	S	2024-12-06	629.3529	-136	619.85	1292.39
7493	Zuckerberg Mark	META	S	2024-12-09	625.6407	-296	624.24	414.61
7724	GRAYSON BLAKE JEFFREY	DOCU	S	2024-12-16	95.41	-2865	95.8	-1117.35
7726	Briggs Teresa	DOCU	S	2024-12-16	94.6	-534	95.8	-640.8
7727	Chatwani Robert	DOCU	S	2024-12-18	97.76	-14800	95.77	29452.0
7728	GRAYSON BLAKE JEFFREY	DOCU	S	2024-12-18	97.78	-15588	95.77	31331.88
7729	Shaughnessy James P	DOCU	S	2025-01-02	90.53	-841	90.42	92.51
7731	Thygesen Allan C.	DOCU	S	2025-01-02	90.53	-2654	90.42	291.94
7734	Salem Enrique T	DOCU	S	2025-01-10	91.561	-10000	89.6	19610.0
7736	Solvik Peter	DOCU	S	2025-01-10	91.26	-10000	89.6	16600.0
7737	GRAYSON BLAKE JEFFREY	DOCU	S	2025-02-14	87.75	-927	83.96	3513.33
8050	Napolitano Janet	ZM	S	2024-10-09	69.7784	-2342	68.93	1986.95
8053	Steckelberg Kelly	ZM	S	2024-10-09	68.12	-14151	68.93	-11462.31
8054	Yuan Eric S.	ZM	S	2024-10-09	69.89	-587	68.93	563.52
8057	Sankarlingam Velchamy	ZM	S	2024-10-10	69.5109	-10338	70.2	-7123.92
8058	Crehan Shane	ZM	S	2024-10-10	69.5107	-1776	70.2	-1224.2
8059	Yuan Eric S.	ZM	S	2024-10-10	70.9053	-13777	70.2	9716.92
8062	Chadwick Jonathan	ZM	S	2024-10-14	70.4302	-1102	72.17	-1917.26
8066	Bawa Aparna	ZM	S	2024-10-14	71.07	-200	72.17	-220.0
8070	Yuan Eric S.	ZM	S	2024-10-21	71.8056	-22991	73.85	-47002.8
8072	Yuan Eric S.	ZM	S	2024-10-22	72.2121	-35714	75.5	-117424.06
8074	Chadwick Jonathan	ZM	S	2024-10-29	75.0396	-12500	77.75	-33880.0
8077	Yuan Eric S.	ZM	S	2024-11-05	77.825	-1079	86.32	-9166.1
8082	Yuan Eric S.	ZM	S	2024-11-06	79.8272	-65543	85.04	-341662.55
8086	Subotovsky Santiago	ZM	S	2024-12-04	82.9	-193	86.59	-712.17
8089	Yuan Eric S.	ZM	S	2024-12-04	83.5993	-70944	86.59	-212172.22
8093	Yuan Eric S.	ZM	S	2024-12-05	84.6022	-26138	87.05	-63980.6
8674	BHARADWAJ ANUTTHARA	TEAM	S	2024-12-20	255.8208	-666	250.11	3803.39
8682	Cannon-Brookes Michael	TEAM	S	2024-12-20	257.0712	-1599	250.11	11130.96
8691	Farquhar Scott	TEAM	S	2024-12-20	251.7341	-443	250.11	719.48
8700	Cannon-Brookes Michael	TEAM	S	2024-12-23	255.8367	-75	247.1	655.25
8706	Farquhar Scott	TEAM	S	2024-12-23	255.0588	-200	247.1	1591.76
8712	Cannon-Brookes Michael	TEAM	S	2024-12-24	255.6272	-733	243.38	8977.2
8718	Farquhar Scott	TEAM	S	2024-12-24	252.316	-1405	243.38	12555.08
8724	Cannon-Brookes Michael	TEAM	S	2024-12-26	256.4118	-900	242.39	12619.62
8727	Farquhar Scott	TEAM	S	2024-12-26	254.8468	-2612	242.39	32537.16
8730	Farquhar Scott	TEAM	S	2024-12-27	252.0539	-100	250.27	178.39
8735	Cannon-Brookes Michael	TEAM	S	2024-12-27	249.2957	-1517	250.27	-1478.01
8740	Cannon-Brookes Michael	TEAM	S	2024-12-30	247.1683	-3117	254.63	-23258.12
8746	Farquhar Scott	TEAM	S	2024-12-30	247.1684	-3116	254.63	-23250.35
8752	Farquhar Scott	TEAM	S	2024-12-31	245.1674	-651	247.85	-1746.37
